Fire_Year,smoke_estimate,smoke_estimate_dur,log_smoke_estimate,log_smoke_estimate_dur
1961,7.34719309395776e-06,8.790886092205974e-05,11.821192209657378,9.33920995150444
1962,1.8201799031694092e-10,5.460539709508227e-10,22.426915585841606,21.328303297173495
1963,3.833019531293079e-06,5.752777531365386e-06,12.471857676015812,12.065827770852483
1964,7.037862362641033e-05,0.0018298099879557848,9.56162098257905,6.303543149237844
1965,0.00031501545708449426,6.057428791482209,8.062888850233033,1.8012854182093547
1966,1.6166454549183186e-05,0.30970521273758994,11.032572169444105,1.1721343605734638
1967,1.3204979291570528e-08,2.6409958583141056e-08,18.142671859424933,17.44952467886499
1968,2.8831963738989028e-06,0.051203512032394524,12.756611027198659,2.9719471549064567
1970,2.2938553774969538e-05,0.03314399792574997,10.682691492061661,3.4068936367900107
1971,1.661568957140558e-05,0.23180229357446724,11.00516315407548,1.461870453498745
1972,0.0013540053305458352,22.60564233031097,6.604688167612185,3.1181995357514394
1973,2.68059321445739e-05,0.4112817891943948,10.526887346263337,0.8884766809370299
1974,4.1877984964916465e-05,0.5818942842934606,10.080750287615263,0.5414664898570809
1975,1.1513856010824403e-05,0.10913779762339051,11.371959377362552,2.2151439967991937
1976,4.232651131442148e-05,0.4062828739350489,10.070096923212894,0.9007056281565682
1977,1.3989081849636853e-05,0.016131609304687294,11.177233400487252,4.126974620917447
1978,5.10409327682136e-06,0.008454212667087225,12.18546773684948,4.773090421359379
1979,7.064683178665163e-06,0.0032087399661676797,11.86040238661742,5.741876952805962
1980,5.613499580448478e-05,0.14959251115751307,9.787751128793273,1.8998402738022921
1981,1.1418576403332521e-05,0.07410895086832586,11.380269019708946,2.6022189595308136
1982,4.9653189097871575e-06,0.009497688005926905,12.213033030951417,4.6567068777915575
1983,1.2682397687357907e-05,0.11718568032043811,11.275295534767919,2.143995590870228
1984,6.83420989133991e-05,0.13306696678659352,9.590984598939288,2.016902767805209
1985,0.000723649455586605,0.3049579416647767,7.231203460196835,1.1875814080643379
1986,0.0003546660869322293,0.0033877991158065956,7.944333811321709,5.687574796805416
1987,0.0017972266071295338,0.33708704819143187,6.321510576109589,1.087414078745643
1988,0.0033191833985764508,0.21777550144989172,5.708036490592117,1.524290556674429
1989,0.0012196286958221856,0.32393384090244975,6.709208814246861,1.1272159787859186
1990,0.0004911954244785043,0.05942343445025714,7.618668496161485,2.8230666110512415
1991,0.0027566256286680616,0.030030318705605456,5.893747945544781,3.50554778413594
1992,0.000311861922768103,0.004445129801131905,8.072950023341699,5.415946208838149
1993,0.0011985430729681726,3.5151741803159315,6.726648565671654,1.257089077467595
1994,0.002427340170498659,3.2224765839701313,6.0209592011616175,1.1701501893874677
1995,0.0017387426472151625,6.126532096370997,6.354593043511889,1.8126288633344712
1996,0.00645299208204302,0.09606534421662734,5.04321136704871,2.3427266501411244
1997,0.0003759351534733956,1.0007825226283278,7.886093893614535,0.000782216617125918
1998,0.002208715784056143,0.05693203393357082,6.115344025539821,2.8658971097370705
1999,0.0005802158704583672,0.3692990834516198,7.452110333224031,0.9961484389798815
2000,0.004346754811831766,0.1399400120188561,5.4383257325617,1.9665414337786096
2001,0.0011265486017490675,0.10430456979937053,6.788596654993298,2.260440103943168
2002,0.003953976737237244,0.2671805530450315,5.533033437600224,1.3198306204883685
2003,0.004726888635927771,0.10918339363536232,5.35448808659225,2.2147263001718365
2004,0.002100556265307949,0.12217549413818618,6.165553081087576,2.1022967913226496
2005,0.00592561977960701,-0.1601564767783578,5.128469993278493,
2006,0.006707344294935043,0.09663073424886834,5.004552189510521,2.336858428439628
2007,0.008027859711276985,-0.1416010100615667,4.824837323128862,
2008,0.0029069215333749985,-0.003910467032038759,5.840660650072759,
2009,0.012774236967544591,-0.13411936342325,4.360324873244129,
2010,0.00742893614283392,0.11810840156655772,4.90237261451048,2.1361524188801706
2011,0.03310741395459536,-0.0014922424818415636,3.407998035136694,
2012,0.011989817202783797,0.024210992759747016,4.423697555865122,3.720948502687563
2013,0.004069151532810545,-0.029420326835284488,5.5043207698571495,
2014,0.0416126108803734,-0.11514583754587425,3.1793520114916114,
2015,0.027991719401687876,-0.47348862854586493,3.5758465481993498,
2016,0.042647431843944913,-0.1682797352780378,3.1547882215363257,
2017,0.043915409557937074,1.0168273296219177,3.125490005505182,0.01668731860223442
2018,0.017432817091283113,0.007603451406184508,4.049400809372521,4.87915300238406
2019,0.002085982805036696,0.08123962541751786,6.172515165468837,2.5103521530940016
2020,0.0020860046496403105,0.07600153693140858,6.172504693431779,2.5770017161185916
